timestamp,day,time,download_mbps,upload_mbps,packet_loss,isp,server_host,server_location,result_url
2023-04-09T19:11:08.000Z,Sunday,15:11:08,192.45,61.42,0,Verizon Fios,speedtestnyc.telebermuda.com,New York NY,https://www.speedtest.net/result/c/7c8059fe-01fc-4e3e-b8ec-fea3aaf9d630
2023-04-09T19:23:51.000Z,Sunday,15:23:51,288.89,152.95,0,Verizon Fios,ny2.speedtest.gslnetworks.com,New York NY,https://www.speedtest.net/result/c/b607fc03-7781-4023-87ed-49dc62aadacd
2023-04-09T19:29:53.000Z,Sunday,15:29:53,177.95,175.31,0,Verizon Fios,speedtest1.nyc1.nitelusa.net,New York NY,https://www.speedtest.net/result/c/c962cbf8-80df-44b3-a65e-b746ed3761df
2023-04-09T19:32:22.000Z,Sunday,15:32:22,164.72,171.97,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/9b24fd42-2938-4c66-8951-0aea9189e3f9
2023-04-09T19:33:14.000Z,Sunday,15:33:14,194.17,180.83,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/20b4da76-841d-4b58-98de-4c1eefb2caa2
2023-04-09T19:38:13.000Z,Sunday,15:38:13,187.44,181.22,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/c50656c3-b73c-470c-aac3-7d623346f371
2023-04-09T19:43:18.000Z,Sunday,15:43:18,173.7,175.57,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/1447dc92-bb35-4e26-991e-ed6ef8c07f08
2023-04-09T19:48:12.000Z,Sunday,15:48:12,175.69,182.77,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/d6d36dac-953c-4f9a-9452-76d6e66a4197
2023-04-09T19:53:20.000Z,Sunday,15:53:20,166.08,185.81,0,Verizon Fios,speedgauge2.optonline.net,New York NY,https://www.speedtest.net/result/c/f51aa3bf-ff62-4128-9dc9-8532a4b82e27
2023-04-09T19:58:09.000Z,Sunday,15:58:09,203.99,176.69,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/f115835c-913d-4f6e-b063-4ce9427b52c8
2023-04-09T20:03:17.000Z,Sunday,16:03:17,144.85,173.17,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/067a3c1a-491d-4018-bc69-740d09b9cebe
2023-04-09T21:04:21.000Z,Sunday,17:04:21,185.95,134.47,0,Verizon Fios,speedtest.surfshark.com,New York NY,https://www.speedtest.net/result/c/10d9b033-174c-46d4-b2c5-b8d6d0c59f90
2023-04-09T22:46:38.000Z,Sunday,18:46:38,204.01,136.67,0,Verizon Fios,speedtestnyc.telebermuda.com,New York NY,https://www.speedtest.net/result/c/d14399de-e794-494c-bd4b-5463eefb9cce
2023-04-09T22:47:06.000Z,Sunday,18:47:06,211.44,198.38,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/92be4000-54de-4f68-aaab-06a1de3572c7
2023-04-09T23:58:10.000Z,Sunday,19:58:10,180.64,204.5,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/7fbe1522-f4d5-4b72-97ac-a61299e71f6f
2023-04-10T12:20:45.000Z,Monday,8:20:45,91.83,20.19,0,Verizon Fios,speedtest.surfshark.com,New York NY,https://www.speedtest.net/result/c/05911b24-003d-4ea9-880f-23b3a5d43103
2023-04-10T12:25:41.000Z,Monday,8:25:41,200.35,185.04,0,Verizon Fios,nyc1-speedtest.webnx.com,New York NY,https://www.speedtest.net/result/c/c58a2599-c57a-4bbc-a421-9d0a5892f565
2023-04-10T12:30:34.000Z,Monday,8:30:34,199.62,183.68,0,Verizon Fios,speedtest.surfshark.com,New York NY,https://www.speedtest.net/result/c/fcffa831-f708-468b-acee-2e1401db8b5f
2023-04-10T12:35:42.000Z,Monday,8:35:42,209.13,24.13,0,Verizon Fios,speedtestnyc.telebermuda.com,New York NY,https://www.speedtest.net/result/c/cb5e6de4-b73b-4373-9095-d962a529fc9d
2023-04-10T12:40:41.000Z,Monday,8:40:41,216.75,10.1,0,Verizon Fios,speedtestnyc.telebermuda.com,New York NY,https://www.speedtest.net/result/c/d01a31e2-6638-40b3-9c1e-2f84501cb774
2023-04-10T12:45:39.000Z,Monday,8:45:39,215.12,201.41,0,Verizon Fios,speedtest.surfshark.com,New York NY,https://www.speedtest.net/result/c/38881a1c-9fbc-49d5-be1c-739d66261b79
2023-04-10T12:50:45.000Z,Monday,8:50:45,179.82,180.92,0,Verizon Fios,speedtest.pilotfiber.com,New York NY,https://www.speedtest.net/result/c/22195a3d-afe6-4b3c-bfe5-a5a68c05defb
2023-04-10T13:21:40.000Z,Monday,9:21:40,186.51,142.09,0,Verizon Fios,speedtest.nyc.rr.com,New York NY,https://www.speedtest.net/result/c/63927948-dd81-4f3d-8f34-1ad765d1850b
2023-04-10T13:26:37.000Z,Monday,9:26:37,141.69,104.32,,Verizon Fios,speedtestus.pvdatanet.com,New York NY,https://www.speedtest.net/result/c/78a03c69-e93d-49b7-a01b-15e9d776953f
